
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: CARTOXXX.ecu

ECU identified with following data:
HWNumber    = 0261206539       (requested was 0261206539)
SWNumber    = 1037354801       (requested was 1037354801)
PartNumber  = 4B0906018R       (requested was 4B0906018R)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G02

Log packet size: 77 bytes
Logging with:    20 samples/second
Used speed is:   57600 baud
Used mode is:    HM0
Log started at:  07.06.2025 13:32:24.526

TimeStamp, fho_w     , fra_w     , lamfa_w   , lamsbg_w  , lamsoni_w , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldimxak_w , ldptv     , ldrdtv    , ldrlms_w  , ldrlts_w  , ldtv      , ldtvm     , ldtvr_w   , misol_w   , misopl1_w , miszul_w  , mshfm_w   , nmot_w    , plsol_w   , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tmot      , vfil_w    , wdkba     , wdks      , wnwise_w  , wped_w    , zwist     , zwout     
    0.700, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.035     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.625   , 180.352   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.83334   , 1713.75   , 999.883   , 1032.03   , 0         , 14.5313   , 124.313   , 124.313   , 13.5      , 490.604   , 39        , 93        , 38.2422   , 1.96079   , 1.96079   , -0.203125 , 0         , -7.5      , -7.5      
    0.750, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.035     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.625   , 180.352   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.61111   , 1712.75   , 999.883   , 1031.05   , 0         , 14.5078   , 124.313   , 124.313   , 13.5      , 490.604   , 39        , 93        , 38.1406   , 1.96079   , 1.96079   , -0.15625  , 0         , -7.5      , -7.5      
    0.800, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.08      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.648   , 180.375   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.75      , 1702      , 999.883   , 1030.63   , 0         , 14.5547   , 124.172   , 124.172   , 13.5      , 490.604   , 39        , 93        , 37.9609   , 1.96079   , 1.96079   , 0.0625    , 0         , -7.5      , -7.5      
    0.850, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.095     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.25    , 179.977   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.66667   , 1703.25   , 999.883   , 1031.25   , 0         , 14.4844   , 124.078   , 124.078   , 13.5      , 489.628   , 39        , 93        , 37.8906   , 1.96079   , 1.96079   , 0.109375  , 0         , -7.5      , -7.5      
    0.900, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.11      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.25    , 179.977   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.69445   , 1699.75   , 999.883   , 1030.23   , 0         , 14.4375   , 124.008   , 124.008   , 13.5      , 489.628   , 39        , 93        , 37.8516   , 1.96079   , 1.96079   , -0.125    , 0         , -7.5      , -7.5      
    0.950, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.11      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.25    , 179.977   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.55556   , 1696      , 999.883   , 1030.63   , 0         , 14.3203   , 124.031   , 124.031   , 13.5      , 489.628   , 39        , 93        , 37.8203   , 1.96079   , 1.96079   , -0.203125 , 0         , -7.5      , -7.5      
    1.000, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.175     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.297   , 180       , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.61111   , 1689.75   , 999.883   , 1031.09   , 0         , 14.3203   , 123.82    , 123.82    , 13.5      , 489.628   , 39        , 93        , 37.6172   , 1.96079   , 1.96079   , -0.25     , 0         , -7.5      , -7.5      
    1.050, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.205     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.297   , 180.023   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.5       , 1686.25   , 999.883   , 1031.99   , 0         , 14.2031   , 123.773   , 123.773   , 13.5      , 489.628   , 39        , 93        , 37.5938   , 1.96079   , 1.96079   , -0.0625   , 0         , -7.5      , -7.5      
    1.100, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.175     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.297   , 180.023   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.52778   , 1688      , 999.883   , 1030.7    , 0         , 14.1563   , 123.797   , 123.797   , 13.5      , 488.69    , 39        , 93        , 37.5391   , 1.96079   , 1.96079   , -0.078125 , 0         , -7.5      , -7.5      
    1.150, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.205     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.32    , 180.047   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.47223   , 1684.5    , 999.883   , 1031.41   , 0         , 14.1797   , 123.68    , 123.68    , 13.5      , 488.69    , 39        , 93        , 37.4297   , 1.96079   , 1.96079   , 0.109375  , 0         , -7.5      , -7.5      
    1.200, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.235     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.344   , 180.047   , 0         , 0         , 0         , 0         , 0         , 8.98438   , 4.63889   , 1674.25   , 999.883   , 1031.41   , 0         , 14.1328   , 123.586   , 123.586   , 13.5      , 488.69    , 39        , 93        , 37.2578   , 1.96079   , 1.96079   , -0.015625 , 0         , -7.5      , -7.5      
    1.250, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.27      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.344   , 180.07    , 0         , 0         , 0         , 0         , 0         , 8.98438   , 4.47223   , 1676.5    , 999.883   , 1031.21   , 0         , 14.1563   , 123.469   , 123.469   , 13.5      , 488.69    , 39        , 93        , 37.2891   , 1.96079   , 1.96079   , -0.3125   , 0         , -7.5      , -7.5      
    1.300, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.27      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.344   , 180.07    , 0         , 0         , 0         , 0         , 0         , 8.98438   , 4.41667   , 1673      , 999.883   , 1031.8    , 0         , 14.1094   , 123.469   , 123.469   , 13.5      , 487.753   , 39        , 93        , 37.2344   , 1.96079   , 1.96079   , 0.03125   , 0         , -7.5      , -7.5      
    1.350, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.27      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.344   , 180.07    , 0         , 0         , 0         , 0         , 0         , 8.98438   , 4.5       , 1668.25   , 999.883   , 1031.95   , 0         , 14.1328   , 123.469   , 123.469   , 13.5      , 487.753   , 39        , 93        , 37.0781   , 1.96079   , 1.96079   , -0.34375  , 0         , -7.5      , -7.5      
    1.400, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.315     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.391   , 180.094   , 0         , 0         , 0         , 0         , 0         , 8.98438   , 4.55556   , 1665.5    , 999.883   , 1032.19   , 0         , 14.1563   , 123.281   , 123.281   , 13.5      , 487.753   , 39        , 93        , 36.9297   , 1.96079   , 1.96079   , -0.265625 , 0         , -7.5      , -7.5      
    1.450, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.315     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.391   , 180.094   , 0         , 0         , 0         , 2.99683   , 4.88587   , 10.1563   , 4.52778   , 1660.5    , 999.883   , 1032.27   , 0         , 14.2031   , 123.281   , 123.281   , 13.5      , 487.753   , 39        , 93        , 36.9688   , 1.96079   , 1.96079   , -0.015625 , 1.79751   , -7.5      , -7.5      
    1.500, 0.987061  , 1.00021   , 1         , 1         , 5.00001   , 0         , 7.345     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.391   , 180.117   , 0         , 0         , 0         , 3.79944   , 8.60291   , 16.0156   , 4.55556   , 1660.75   , 999.883   , 1031.6    , 0         , 14.3203   , 123.188   , 123.188   , 14.625    , 487.967   , 39        , 93        , 36.875    , 1.96079   , 1.96079   , 0.125     , 8.99213   , -6.75     , -6.75     
    1.550, 0.987061  , 1.00021   , 1         , 1         , 5.00001   , 0         , 7.36      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.367   , 180.094   , 0         , 0         , 0         , 5.44739   , 16.3574   , 30.0781   , 4.66667   , 1674      , 999.883   , 1032.11   , 0         , 14.3672   , 123.352   , 123.352   , 31.0781   , 487.967   , 39        , 93        , 36.8125   , 3.13726   , 4.70588   , 0.046875  , 19.2447   , 0.75      , 0.75      
    1.600, 0.987061  , 1.00021   , 1         , 1         , 5.00001   , 0         , 7.235     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.32    , 180.047   , 0         , 0         , 0         , 6.63453   , 18.0298   , 99.2188   , 9.66667   , 1678      , 999.883   , 1028.71   , 0         , 18        , 123.586   , 123.586   , 34.6172   , 487.967   , 39        , 93        , 36.7891   , 5.88235   , 6.66667   , -0.078125 , 25.539    , 8.25      , 8.25      
    1.650, 0.987061  , 1.00021   , 1         , 1         , 5.00001   , 0         , 7.27      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.344   , 180.07    , 0         , 0         , 0         , 9.17969   , 22.4274   , 99.2188   , 10.8056   , 1674.75   , 999.883   , 1027.38   , 0         , 21.4688   , 123.469   , 123.469   , 43.9453   , 487.967   , 39        , 93        , 36.7734   , 6.66667   , 8.62745   , 0.15625   , 32.9137   , 6.75      , 6.75      
    1.700, 0.987061  , 1.00021   , 1         , 1         , 5.00001   , 0         , 7.205     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.32    , 180.047   , 0         , 0         , 0         , 11.6699   , 28.0945   , 99.2188   , 13.1111   , 1689      , 999.883   , 1025.59   , 0         , 26.9531   , 123.68    , 123.68    , 55.5703   , 488.436   , 39        , 93        , 36.7266   , 8.2353    , 10.1961   , 0.140625  , 42.446    , 5.25      , 5.25      
    1.750, 0.987061  , 1.00021   , 1         , 1         , 5.00001   , 0         , 7.065     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.227   , 179.953   , 0         , 0         , 0         , 16.5527   , 41.0126   , 99.2188   , 17.25     , 1730      , 1145.94   , 1022.7    , 0         , 33.7031   , 124.219   , 124.219   , 81.6328   , 488.436   , 39        , 93        , 36.7188   , 12.549    , 19.2157   , -0.25     , 48.9204   , -2.25     , -2.25     
    1.800, 0.987061  , 1.00021   , 1         , 1         , 3.14112   , 0         , 6.925     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 119.97    , 176.133   , 179.836   , 95        , 94.9219   , 119.97    , 23.4497   , 54.3946   , 99.2188   , 38        , 1750      , 1441.13   , 1009.26   , 0         , 51.8672   , 124.852   , 124.852   , 108.234   , 488.436   , 39        , 93        , 36.8828   , 24.7059   , 25.4902   , -0.15625  , 57.1938   , 3         , 3         
    1.850, 0.987061  , 1.00021   , 1         , 1         , 1.16187   , 0         , 63.645    , 0         , -0.25     , 0         , 0         , 0         , 0         , 30.135    , 11.61     , 176.109   , 181.031   , 46.53     , 46.4844   , 44.325    , 31.1188   , 57.7301   , 99.2188   , 33.0834   , 1749      , 1514.26   , 1003.83   , 0         , 69.5156   , 124.992   , 124.992   , 114.82    , 488.436   , 39        , 93        , 36.9375   , 50.5883   , 100       , 0         , 62.5894   , 3.75      , 3.75      
    1.900, 0.987061  , 1.00021   , 0.953126  , 1         , 1.07593   , 0         , 71.62     , 0         , -0.25     , 0         , 0         , 0         , 0         , 36.4      , 5.565     , 176.109   , 179.836   , 48.56     , 48.4375   , 47.485    , 40.036    , 58.0903   , 99.2188   , 26.9445   , 1728.5    , 1523.16   , 1010.2    , 0         , 75.3984   , 124.992   , 124.992   , 115.523   , 492.46    , 39        , 93        , 37        , 97.2549   , 100       , -0.265625 , 63.6697   , 21.75     , 21.75     
    1.950, 0.987061  , 1.00021   , 0.953126  , 0.953126  , 1.02832   , 0         , 79.885    , 0         , -0.25     , 0         , 0         , 0         , 0         , 37        , -3.63     , 176.25    , 179.977   , 44.64     , 44.5313   , 42.01     , 48.6481   , 58.0918   , 99.2188   , 25.5834   , 1674.75   , 1533.98   , 1020.43   , 0         , 75.8438   , 124.008   , 124.008   , 115.664   , 492.46    , 39        , 93        , 36.8984   , 100       , 98.0392   , -0.734375 , 64.7485   , 21.75     , 21.75     
    2.000, 0.987061  , 1.00021   , 0.91089   , 0.953126  , 0.968507  , 0         , 83.395    , 0         , -0.25     , 0         , 0         , 0         , 0         , 38.61     , 7.36      , 176.367   , 180.094   , 56.895    , 56.6406   , 57.61     , 59.6131   , 59.0226   , 99.2188   , 25.3889   , 1689.25   , 1561.84   , 1031.56   , 0         , 75.9609   , 123.375   , 123.375   , 117.563   , 492.46    , 39        , 93        , 36.9844   , 99.2157   , 98.0392   , -0.359375 , 68.7052   , 22.5      , 22.5      
    2.050, 0.987061  , 1.00021   , 0.91089   , 0.91089   , 0.962404  , 0         , 82.66     , 0         , -0.25     , 0         , 0         , 0         , 0         , 42.35     , 1.785     , 176.672   , 180.398   , 58.22     , 58.2031   , 59.015    , 60.6232   , 59.726    , 99.2188   , 26.5556   , 1716.75   , 1574.02   , 1042.23   , 0         , 76.4297   , 124.078   , 124.078   , 118.828   , 492.46    , 39        , 93        , 37.0547   , 98.4314   , 94.902    , -0.40625  , 73.202    , 21.75     , 21.75     
    2.100, 0.987061  , 1.00021   , 0.894044  , 0.91089   , 0.966066  , 0         , 82.3      , 0         , -0.25     , 0         , 0         , 0         , 0         , 41.605    , -3.54     , 176.602   , 180.328   , 55.77     , 55.8594   , 56.245    , 61.1359   , 60.2311   , 99.2188   , 27.2778   , 1733.25   , 1595.39   , 1053.36   , 0         , 76.5469   , 124.523   , 124.523   , 119.789   , 495.174   , 39        , 93        , 37.1875   , 94.1177   , 94.902    , -0.40625  , 75.5397   , 8.25      , 8.25      
    2.150, 0.987061  , 1.00021   , 0.894044  , 0.894044  , 0.951173  , 0         , 81.53     , 0         , -0.25     , 0         , 0         , 0         , 0         , 40.77     , 1.8       , 176.602   , 180.328   , 63.4      , 63.2813   , 63.93     , 61.5418   , 60.9314   , 99.2188   , 27.1111   , 1724.5    , 1617.46   , 1065.94   , 0         , 76.9688   , 124.57    , 124.57    , 121.266   , 495.174   , 39        , 93        , 37.2578   , 96.4706   , 98.4314   , -0.578125 , 78.4175   , 21        , 21        
    2.200, 0.987061  , 1.00021   , 0.887208  , 0.894044  , 0.943605  , 0         , 84.22     , 0         , -0.25     , 0         , 0         , 0         , 0         , 41.58     , 0         , 176.602   , 180.328   , 65.855    , 65.625    , 66.18     , 61.6517   , 61.0398   , 99.2188   , 28.1667   , 1735      , 1625.98   , 1078.2    , 0         , 77.5547   , 124.523   , 124.523   , 121.453   , 495.174   , 39        , 93        , 37.4375   , 98.0392   , 98.4314   , -0.25     , 80.3966   , 6.75      , 6.75      
    2.250, 0.987061  , 1.00021   , 0.887208  , 0.887208  , 0.949953  , 0         , 83.025    , 0         , -0.25     , 0         , 0         , 0         , 0         , 43.89     , 5.355     , 176.531   , 180.258   , 77.07     , 76.9531   , 77.085    , 62.6465   , 62.0133   , 99.2188   , 28.5834   , 1747.75   , 1661.64   , 1091.33   , 0         , 78.2109   , 124.969   , 124.969   , 123.422   , 495.174   , 39        , 93        , 37.5469   , 98.4314   , 98.4314   , -0.390625 , 85.9723   , 5.25      , 5.25      
    2.300, 0.987061  , 1.00021   , 0.884523  , 0.887208  , 0.937501  , 0         , 83.745    , 0         , -0.25     , 0         , 0         , 0         , 0         , 45.36     , -1.745    , 176.508   , 180.234   , 74.945    , 75        , 74.875    , 62.854    , 62.0133   , 99.2188   , 30.25     , 1759.25   , 1667.93   , 1106.76   , 0         , 79.3125   , 125.109   , 125.109   , 123.422   , 496.874   , 39        , 93        , 37.6484   , 98.4314   , 98.4314   , -0.375    , 93.3454   , 5.25      , 5.25      
    2.350, 0.987061  , 1.00021   , 0.884523  , 0.884523  , 0.924318  , 0         , 82.905    , 0         , -0.25     , 0         , 0         , 0         , 0         , 44.52     , 0         , 176.461   , 180.164   , 79.32     , 79.2969   , 79.14     , 62.967    , 62.233    , 99.2188   , 30.1667   , 1771.25   , 1686.33   , 1122.07   , 0         , 80.2031   , 125.578   , 125.578   , 123.844   , 496.874   , 39        , 93        , 37.9297   , 98.4314   , 100       , -0.296875 , 99.8213   , 6         , 6         
    2.400, 0.987061  , 1.00021   , 0.883546  , 0.884523  , 0.922121  , 0         , 82.68     , 0         , -0.25     , 0         , 0         , 0         , 0         , 43.725    , -1.755    , 176.414   , 181.359   , 80.22     , 80.0781   , 79.95     , 63.2233   , 62.233    , 99.2188   , 30.1945   , 1788.75   , 1684.88   , 1136.6    , 0         , 81.4922   , 125.789   , 125.789   , 123.844   , 496.874   , 39        , 93        , 38.0938   , 100       , 100       , -0.21875  , 99.9999   , 6         , 6         
    2.450, 0.987061  , 1.00021   , 0.883546  , 0.883546  , 0.909914  , 0         , 82.525    , 0         , -0.25     , 0         , 0         , 0         , 0         , 42.9      , 0         , 176.367   , 181.289   , 84.455    , 84.375    , 84.18     , 63.2843   , 62.5992   , 99.2188   , 31.25     , 1797      , 1691.76   , 1152.19   , 0         , 83.2031   , 126.188   , 126.188   , 124.57    , 496.874   , 39        , 93        , 38.2969   , 100       , 100       , -0.40625  , 99.9999   , 9         , 9         
