Friday,14,February,2025,15:20:36:00009-VCID:6CD771B71C8BFEF607-4B18,VCDS Version: Release 24.7.1,Data version: 20240919 DS356.3,,,,
,12.15,882,15.3,375,1011.2,1.240335926,594.5039244,63.0778006,,
,12.46,882,15.3,393.8,1011.2,1.240335926,594.5039244,66.240101,,
,12.78,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,13.11,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,13.42,903,15.3,368.8,995.4,1.240335926,585.2148006,63.01959548,,
,13.74,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,14.05,882,15.3,393.8,995.4,1.240335926,585.2148006,67.29153118,,
,14.37,903,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,14.68,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,15,882,15.3,387.5,995.4,1.240335926,585.2148006,66.21500338,,
,15.33,882,15.3,375,995.4,1.240335926,585.2148006,64.07903553,,
,15.66,882,15.3,387.5,995.4,1.240335926,585.2148006,66.21500338,,
,15.97,903,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,16.29,882,15.3,375,995.4,1.240335926,585.2148006,64.07903553,,
,16.6,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,16.91,882,15.3,356.3,995.4,1.240335926,585.2148006,60.88362763,,
,17.23,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,17.54,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,17.86,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,18.18,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,18.49,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,18.8,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,19.12,861,14.4,362.5,995.4,1.244218042,587.0464588,61.74979758,,
,19.45,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,19.78,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,20.11,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,20.44,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,20.75,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,21.07,903,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,21.38,903,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,21.87,903,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,22.2,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,22.53,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,22.85,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,23.16,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,23.47,882,14.4,400,995.4,1.244218042,587.0464588,68.13770767,,
,23.79,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,24.1,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,24.42,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,24.73,882,14.4,368.8,995.4,1.244218042,587.0464588,62.82296647,,
,25.04,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,25.37,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,25.7,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,26.03,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,26.36,882,14.4,368.8,995.4,1.244218042,587.0464588,62.82296647,,
,26.69,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,27.02,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,27.33,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,27.64,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,27.95,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,28.27,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,28.59,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,28.92,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,29.25,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,29.58,903,14.4,368.8,995.4,1.244218042,587.0464588,62.82296647,,
,29.9,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,30.23,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,30.55,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,30.86,882,14.4,368.8,995.4,1.244218042,587.0464588,62.82296647,,
,31.18,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,31.49,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,31.8,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,32.12,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,32.45,903,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,32.78,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,33.11,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,33.44,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,33.76,882,14.4,368.8,995.4,1.244218042,587.0464588,62.82296647,,
,34.08,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,34.39,1470,14.4,387.5,979.6,1.244218042,577.728261,67.07305599,,
,34.71,1848,14.4,481.3,1027,1.244218042,605.6828543,79.46402916,,
,35.02,1407,14.4,543.8,1121.8,1.244218042,661.5920409,82.19566839,,
,35.34,1218,14.4,462.5,1169.2,1.244218042,689.5466342,67.07305599,,
,35.67,1239,14.4,525,1200.8,1.244218042,708.1830297,74.13337767,,
,35.99,1176,14.4,500,1216.6,1.244218042,717.5012274,69.68629194,,
,36.3,1533,14.4,568.8,1232.4,1.244218042,726.8194252,78.25877794,,
,36.62,1848,14.4,662.5,1358.8,1.244218042,801.3650073,82.6714411,,
,36.93,1827,14.4,650,1548.4,1.244218042,913.1833804,71.17956962,,
,37.27,1470,14.4,512.5,1437.8,1.244218042,847.9559961,60.43945705,,
,37.58,1134,14.4,375,1311.4,1.244218042,773.410414,48.4865465,,
,37.9,1323,14.4,531.3,1248.2,1.244218042,736.137623,72.17400435,,
,38.21,1344,14.4,525,1279.8,1.244218042,754.7740185,69.55724325,,
,38.54,1470,14.4,662.5,1358.8,1.244218042,801.3650073,82.6714411,,
,38.87,1680,14.4,793.8,1548.4,1.244218042,913.1833804,86.92668056,,
,39.2,1869,14.4,881.3,1738,1.244218042,1025.001753,85.98034072,,
,39.52,1764,14.4,450,1880.2,1.244218042,1108.865533,40.58201707,,
,39.83,1386,14.4,400,1548.4,1.244218042,913.1833804,43.80281207,,
,40.15,1008,14.4,275,1374.6,1.244218042,810.683205,33.92200533,,
,40.46,1470,14.4,587.5,1279.8,1.244218042,754.7740185,77.83786744,,
,40.79,1281,14.4,512.5,1327.2,1.244218042,782.7286117,65.47607847,,
,41.1,1323,14.4,568.8,1327.2,1.244218042,782.7286117,72.66886523,,
,41.44,1365,14.4,593.8,1327.2,1.244218042,782.7286117,75.86282028,,
,41.76,1449,13.5,662.5,1374.6,1.248124535,813.2285212,81.46541627,,
,42.09,1512,14.4,800,1532.6,1.244218042,903.8651826,88.50877491,,
,42.41,1617,14.4,912.5,1722.2,1.244218042,1015.683556,89.84097408,,
,42.72,1722,14.4,1068.8,1975,1.244218042,1164.77472,91.76023327,,
,43.03,1869,14.4,1331.3,2322.6,1.244218042,1369.775071,97.19113953,,
,43.35,2037,14.4,1312.5,2717.6,1.244218042,1602.730015,81.89152185,,
,43.66,2226,14.4,1262.5,2796.6,1.244218042,1649.321003,76.54665147,,
,43.98,2415,15.3,1318.8,2812.4,1.240335926,1653.46404,79.75982352,,
,44.29,2583,15.3,1343.8,2859.8,1.240335926,1681.331411,79.92475434,,
,44.6,2793,15.3,1318.8,2875.6,1.240335926,1690.620535,78.00686036,,
,44.92,2961,15.3,1293.8,2859.8,1.240335926,1681.331411,76.95092064,,
,45.25,3171,15.3,1275,2844,1.240335926,1672.042287,76.25405228,,
,45.56,3318,15.3,1306.3,2844,1.240335926,1672.042287,78.12601451,,
,45.88,3486,15.3,1293.8,2844,1.240335926,1672.042287,77.37842576,,
,46.19,3654,15.3,1293.8,2875.6,1.240335926,1690.620535,76.52811339,,
,46.51,3801,15.3,1300,2891.4,1.240335926,1699.909659,76.47465224,,
,46.82,3948,15.3,1268.8,2859.8,1.240335926,1681.331411,75.4640038,,
,47.13,4095,15.3,1243.8,2844,1.240335926,1672.042287,74.38807077,,
,47.45,4221,16.2,1212.5,2828.2,1.236477961,1657.581303,73.14874979,,
,47.76,4347,16.2,1181.3,2780.8,1.236477961,1629.800611,72.48125888,,
,48.09,4473,16.2,1168.8,2717.6,1.236477961,1592.759688,73.38206818,,
,48.41,4599,17.1,1137.5,2686,1.232643921,1569.357864,72.48187464,,
,48.72,4704,17.1,1087.5,2638.6,1.232643921,1541.663314,70.54069395,,
,49.04,4809,17.1,1081.3,2591.2,1.232643921,1513.968763,71.42155282,,
,49.35,4893,18,1056.3,2575.4,1.228833584,1500.085818,70.41597138,,
,49.66,4977,18,1037.5,2543.8,1.228833584,1481.679857,70.02187385,,
,49.98,4893,18,1043.8,2528,1.228833584,1472.476876,70.88736108,,
,50.31,4872,18.9,918.8,2433.2,1.225046731,1412.891477,65.02976448,,
,50.63,4347,18.9,837.5,2243.6,1.225046731,1302.796037,64.28481328,,
,50.94,3570,18.9,775,1975,1.225046731,1146.827498,67.57773088,,
,51.26,2961,18.9,675,1817,1.225046731,1055.081298,63.97611268,,
,51.57,2457,18.9,631.3,1643.2,1.225046731,954.1604781,66.16287454,,
,51.88,2058,18.9,581.3,1516.8,1.225046731,880.7635182,65.9995547,,
,52.2,1638,18.9,550,1453.6,1.225046731,844.0650383,65.16085551,,
,52.52,1281,18.9,481.3,1358.8,1.225046731,789.0173184,60.99992849,,
,52.84,945,18.9,68.8,1248.2,1.225046731,724.7949785,9.492339494,,
,53.17,903,18,375,1169.2,1.228833584,681.0205552,55.06441724,,
,53.5,882,18,362.5,1121.8,1.228833584,653.4116138,55.47804666,,
,53.83,882,18,362.5,1090.2,1.228833584,635.0056528,57.08610599,,
,54.14,882,18,368.8,1058.6,1.228833584,616.5996919,59.81190144,,
,54.47,882,18,368.8,1042.8,1.228833584,607.3967114,60.71814237,,
,54.78,882,18,362.5,1027,1.228833584,598.1937309,60.59909712,,
,55.1,882,18,362.5,1027,1.228833584,598.1937309,60.59909712,,
,55.41,882,17.1,368.8,1011.2,1.232643921,590.8170784,62.42202765,,
,55.73,882,17.1,350,1011.2,1.232643921,590.8170784,59.2399937,,
,56.06,882,17.1,368.8,1011.2,1.232643921,590.8170784,62.42202765,,
,56.38,882,17.1,375,1011.2,1.232643921,590.8170784,63.47142182,,
,56.69,882,17.1,368.8,1011.2,1.232643921,590.8170784,62.42202765,,
,57.01,903,17.1,362.5,1011.2,1.232643921,590.8170784,61.35570776,,
,57.32,945,17.1,362.5,1011.2,1.232643921,590.8170784,61.35570776,,
,57.64,1386,17.1,381.3,995.4,1.232643921,581.5855615,65.56215031,,
,57.97,1890,17.1,425,1011.2,1.232643921,590.8170784,71.93427806,,
,58.28,1827,16.2,493.8,1074.4,1.236477961,629.6956905,78.4188311,,
,58.6,1806,16.2,525,1153.4,1.236477961,675.9968443,77.66308444,,
,58.91,1785,16.2,531.3,1216.6,1.236477961,713.0377672,74.51218216,,
,59.23,1743,16.2,525,1264,1.236477961,740.8184595,70.86756456,,
,59.56,1701,16.2,537.5,1279.8,1.236477961,750.0786902,71.65914817,,
,59.88,1596,16.2,525,1295.6,1.236477961,759.3389209,69.13908737,,
,60.19,1176,16.2,506.3,1279.8,1.236477961,750.0786902,67.49958459,,
,60.5,882,16.2,181.3,1200.8,1.236477961,703.7775365,25.76098136,,
,60.82,903,16.2,368.8,1137.6,1.236477961,666.7366135,55.31419642,,
,61.13,903,16.2,368.8,1090.2,1.236477961,638.9559213,57.71916148,,
,61.45,903,15.3,368.8,1058.6,1.240335926,622.3712959,59.25723157,,
,61.78,882,15.3,368.8,1042.8,1.240335926,613.082172,60.15506841,,
,62.11,882,15.3,375,1042.8,1.240335926,613.082172,61.1663521,,
,62.44,882,15.3,362.5,1027,1.240335926,603.7930482,60.03712714,,
,62.75,882,15.3,381.3,1011.2,1.240335926,594.5039244,64.13750765,,
,63.07,882,15.3,387.5,1011.2,1.240335926,594.5039244,65.18039395,,
,63.38,882,15.3,368.8,1011.2,1.240335926,594.5039244,62.0349143,,
,63.7,882,15.3,375,1011.2,1.240335926,594.5039244,63.0778006,,
,64.03,882,15.3,387.5,1011.2,1.240335926,594.5039244,65.18039395,,
,64.36,882,15.3,368.8,1011.2,1.240335926,594.5039244,62.0349143,,
,64.69,882,15.3,393.8,995.4,1.240335926,585.2148006,67.29153118,,
,65,882,15.3,362.5,1011.2,1.240335926,594.5039244,60.97520725,,
,65.31,903,15.3,362.5,995.4,1.240335926,585.2148006,61.94306768,,
,65.63,882,15.3,356.3,1011.2,1.240335926,594.5039244,59.93232094,,
,65.94,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,66.26,882,15.3,375,995.4,1.240335926,585.2148006,64.07903553,,
,66.59,882,15.3,375,995.4,1.240335926,585.2148006,64.07903553,,
,66.92,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,67.24,882,15.3,381.3,995.4,1.240335926,585.2148006,65.15556333,,
,67.55,882,15.3,362.5,995.4,1.240335926,585.2148006,61.94306768,,
,67.86,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,68.18,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
